"","ngram","freq","length","less1gram","less1gram_freq","hit_rate","suggest"
"370","according to",146,"2","according",146,1,"to"
"13894","as soon as",55,"3","as soon",55,1,"as"
"21278","to be able to",54,"4","to be able",54,1,"to"
"14040","been able to",36,"3","been able",36,1,"to"
"2289","unable to",35,"2","unable",35,1,"to"
"14120","feel free to",32,"3","feel free",32,1,"to"
"14137","whether or not",32,"3","whether or",32,1,"not"
"14201","as part of",29,"3","as part",29,1,"of"
"14233","a variety of",28,"3","a variety",28,1,"of"
"14238","being able to",28,"3","being able",28,1,"to"
"3793","needless to",23,"2","needless",23,1,"to"
"14480","needless to say",23,"3","needless to",23,1,"say"
"14516","his or her",22,"3","his or",22,1,"her"
"14618","was supposed to",21,"3","was supposed",21,1,"to"
"14641","get rid of",20,"3","get rid",20,1,"of"
"21327","will be able to",20,"4","will be able",20,1,"to"
"14706","all kinds of",19,"3","all kinds",19,1,"of"
"14711","as opposed to",19,"3","as opposed",19,1,"to"
"21335","to take care of",19,"4","to take care",19,1,"of"
"5083","refers to",18,"2","refers",18,1,"to"
"14906","are able to",17,"3","are able",17,1,"to"
"14999","tokyo electric power",17,"3","tokyo electric",17,1,"power"
"15022","amazon services llc",16,"3","amazon services",16,1,"llc"
"15212","is supposed to",15,"3","is supposed",15,1,"to"
"15240","on behalf of",15,"3","on behalf",15,1,"of"
"6499","accustomed to",14,"2","accustomed",14,1,"to"
"15391","in search of",14,"3","in search",14,1,"of"
"7492","osiris paintball",13,"2","osiris",13,1,"paintball"
"15567","have yet to",13,"3","have yet",13,1,"to"
"15627","millirem per hour",13,"3","millirem per",13,1,"hour"
"15652","osiris paintball gun",13,"3","osiris paintball",13,1,"gun"
"15677","that kind of",13,"3","that kind",13,1,"of"
"15694","the needs of",13,"3","the needs",13,1,"of"
"15695","the osiris paintball",13,"3","the osiris",13,1,"paintball"
"15712","this sort of",13,"3","this sort",13,1,"of"
"15747","wasnt going to",13,"3","wasnt going",13,1,"to"
"21408","i was trying to",13,"4","i was trying",13,1,"to"
"21415","may or may not",13,"4","may or may",13,1,"not"
"21419","the osiris paintball gun",13,"4","the osiris paintball",13,1,"gun"
"15860","i listen to",12,"3","i listen",12,1,"to"
"15866","i tend to",12,"3","i tend",12,1,"to"
"15894","is trying to",12,"3","is trying",12,1,"to"
"21430","as of am edt",12,"4","as of am",12,1,"edt"
"21431","have been able to",12,"4","have been able",12,1,"to"
"21437","i look forward to",12,"4","i look forward",12,1,"to"
"21456","to the fact that",12,"4","to the fact",12,1,"that"
"21458","trying to figure out",12,"4","trying to figure",12,1,"out"
"16131","been trying to",11,"3","been trying",11,1,"to"
"16190","i seem to",11,"3","i seem",11,1,"to"
"16246","keep track of",11,"3","keep track",11,1,"of"
"16265","never going to",11,"3","never going",11,1,"to"
"16305","say thank you",11,"3","say thank",11,1,"you"
"16318","take advantage of",11,"3","take advantage",11,1,"of"
"16345","the presence of",11,"3","the presence",11,1,"of"
"16349","the sake of",11,"3","the sake",11,1,"of"
"16371","this type of",11,"3","this type",11,1,"of"
"21465","and the fact that",11,"4","and the fact",11,1,"that"
"21467","be a part of",11,"4","be a part",11,1,"of"
"21470","for the sake of",11,"4","for the sake",11,1,"of"
"21482","not be able to",11,"4","not be able",11,1,"to"
"21483","on a regular basis",11,"4","on a regular",11,1,"basis"
"21490","the paintball marker upgrades",11,"4","the paintball marker",11,1,"upgrades"
"21493","there is so much",11,"4","there is so",11,1,"much"
"9579","belongs to",10,"2","belongs",10,1,"to"
"9651","contributed to",10,"2","contributed",10,1,"to"
"10093","proceeded to",10,"2","proceeded",10,1,"to"
"10096","prone to",10,"2","prone",10,1,"to"
"10217","tempted to",10,"2","tempted",10,1,"to"
"16447","a combination of",10,"3","a combination",10,1,"of"
"16500","are meant to",10,"3","are meant",10,1,"to"
"16773","the absence of",10,"3","the absence",10,1,"of"
"16800","the value of",10,"3","the value",10,1,"of"
"16854","try not to",10,"3","try not",10,1,"to"
"16886","wide range of",10,"3","wide range",10,1,"of"
"21503","a wide range of",10,"4","a wide range",10,1,"of"
"21511","believe it or not",10,"4","believe it or",10,1,"not"
"21515","feel the need to",10,"4","feel the need",10,1,"to"
"21516","had the opportunity to",10,"4","had the opportunity",10,1,"to"
"21556","to get rid of",10,"4","to get rid",10,1,"of"
"21562","were a lot of",10,"4","were a lot",10,1,"of"
"21564","what was going on",10,"4","what was going",10,1,"on"
"21567","with the help of",10,"4","with the help",10,1,"of"
"10626","accordance with",9,"2","accordance",9,1,"with"
"10851","compelled to",9,"2","compelled",9,1,"to"
"10857","consisting of",9,"2","consisting",9,1,"of"
"10961","focuses on",9,"2","focuses",9,1,"on"
"11139","intend to",9,"2","intend",9,1,"to"
"11252","messed up",9,"2","messed",9,1,"up"
"11434","ranging from",9,"2","ranging",9,1,"from"
